cation,cation_charge,anion,anion_charge,solubility
Mn,2,F,-1,SL
Mn,2,PO4,-3,NS
Mn,3,NO3,-1,SL
Mn,2,SO4,-2,SL
Mn,2,OH,-1,NS
Fe,2,CO3,-2,NS
Fe,3,F,-1,NS
Fe,3,S,-2,RW
Fe,2,OH,-1,NS
Fe,2,HCO3,-1,SL
Fe,6,NO3,-1,SL
Fe,2,F,-1,NS
Fe,3,SO4,-2,SL
Fe,3,NO3,-1,SL
Fe,2,NO2,-1,ND
Fe,3,NO2,-1,ND
Fe,2,SO4,-2,SL
Fe,3,Br,-1,SL
Fe,2,SO3,-2,NS
Fe,2,PO4,-3,NS
Fe,2,NO3,-1,SL
Fe,2,Cl,-1,SL
Fe,3,HCO3,-1,ND
Fe,3,SO3,-2,ND
Fe,2,HSO4,-1,ND
Fe,2,S,-2,NS
Fe,3,CO3,-2,ND
Fe,3,HSO4,-1,ND
Fe,2,Br,-1,SL
Fe,3,Cl,-1,SL
Fe,3,OH,-1,NS
Fe,2,I,-1,SL
Fe,3,PO4,-3,NS
Fe,3,I,-1,ND
Co,6,NO3,-1,SL
Co,2,HCO3,-1,ND
Co,2,S,-2,NS
Co,2,CO3,-2,NS
Co,2,Br,-1,SL
Co,2,NO2,-1,SS
Co,3,NO3,-1,SL
Co,2,PO4,-3,NS
Co,2,Cl,-1,SL
Co,2,HSO4,-1,ND
Co,2,SO3,-2,NS
Co,2,F,-1,SL
Co,2,OH,-1,NS
Co,2,NO3,-1,SL
Co,2,SO4,-2,SL
Co,2,I,-1,SL
Ni,2,Br,-1,SL
Ni,2,OH,-1,NS
Ni,2,I,-1,SL
Ni,2,NO2,-1,SL
Ni,6,NO3,-1,SL
Ni,3,NO3,-1,SL
Ni,2,PO4,-3,NS
Ni,2,HCO3,-1,ND
Ni,2,SO4,-2,SL
Ni,2,NO3,-1,SL
Ni,2,Cl,-1,SL
Ni,2,SO3,-2,NS
Ni,2,F,-1,SL
Ni,2,CO3,-2,NS
Ni,2,HSO4,-1,ND
Ni,2,S,-2,NS
Cu,2,S,-2,NS
Cu,2,SO4,-2,SL
Cu,2,CO3,-2,NS
